season,seasontype,team_id,game_id,game_dt,status_id,player_id,player_name,game_optimized,p_t_poss_48,p_mp_48,p_usg,p_pts_100,p_tspct,p_efg,p_fga_rim_100,p_fga_mid_100,p_fg2a_100,p_fg3a_100,p_fta_100,p_fgpct_rim,p_fgpct_mid,p_fg2pct,p_fg3pct,p_ftpct,p_ast_100,p_tov_100,p_orb_100,p_drb_100,p_stl_100,p_blk_100,oepm,depm,epm
2026,5,1610612744,52500211,2026-04-17,3,202710,Jimmy Butler III,0,101.44,29.9487,0.226443,29.9156,0.610265,0.529699,8.83885,6.64413,15.8129,4.04487,10.574,0.63064,0.419643,0.535372,0.338347,0.839639,7.43752,2.25175,3.458,4.90577,2.17221,0.31797,3.32521,1.375,4.70022
2026,2,1610612764,22501187,2026-04-12,3,203076,Anthony Davis,0,98.6273,33.7401,0.266613,31.6567,0.567025,0.529206,10.4872,11.2907,21.7589,3.15732,6.81467,0.673461,0.396295,0.53887,0.308405,0.775534,4.37675,3.12257,4.30142,12.4788,1.68627,2.76971,0.832965,0.922899,1.75586
2026,5,1610612746,52500131,2026-04-15,3,203078,Bradley Beal,0,97.1824,27.5203,0.212552,23.5742,0.570213,0.542708,3.87133,7.54145,11.1897,8.03376,3.29072,0.642552,0.438668,0.536978,0.367127,0.823142,5.37569,2.90243,1.12974,3.59882,1.55237,0.643707,-0.36351,-0.727817,-1.09133
2026,4,1610612757,42500155,2026-04-28,3,203081,Damian Lillard,0,97.0678,30.3261,0.247942,28.2795,0.603894,0.530918,4.11652,5.09283,8.69209,11.2641,7.85914,0.561375,0.402742,0.501056,0.369308,0.902031,7.99582,3.36017,0.805586,5.72232,1.55887,0.376737,2.39939,-0.078235,2.32116
2026,4,1610612755,42500212,2026-05-06,1,203083,Andre Drummond,0,96.4384,12.0401,0.140979,13.9235,0.523247,0.500915,7.14839,1.32933,7.85036,3.89812,3.53732,0.579656,0.411438,0.538338,0.283699,0.608797,3.37259,2.69416,7.29172,12.8452,2.08148,1.64407,-1.77308,0.401545,-1.37153
2026,4,1610612759,42500232,2026-05-06,1,203084,Harrison Barnes,0,96.5076,11.9328,0.134573,16.5621,0.599466,0.564673,2.90204,2.33921,4.96183,7.50003,3.07308,0.652736,0.427239,0.570995,0.373661,0.809711,2.91348,1.19338,1.77949,3.48633,1.08342,0.334304,0.288154,-1.03076,-0.742601
2026,5,1610612744,52500211,2026-04-17,3,203110,Draymond Green,0,97.6354,28.2772,0.151372,11.9025,0.526849,0.502095,3.08479,0.817618,3.5333,6.81663,2.14999,0.635489,0.396779,0.556951,0.315774,0.701959,10.138,4.36971,1.44135,7.71604,1.88754,1.0219,-2.38232,1.04288,-1.33944
2026,2,1610612742,22501193,2026-04-12,3,203114,Khris Middleton,0,102.589,20.3543,0.203154,22.1074,0.567936,0.524352,1.7233,9.70367,11.012,6.59823,4.21082,0.590241,0.468058,0.500777,0.375798,0.864334,5.34311,3.41795,1.48927,6.04369,1.50899,0.215607,-0.628846,-1.08595,-1.7148
2026,4,1610612737,42500126,2026-04-30,3,203468,CJ McCollum,0,97.4048,32.3428,0.256028,29.3988,0.555141,0.529439,5.27164,9.6812,14.9106,9.40255,4.92171,0.575993,0.468686,0.515018,0.368205,0.742453,5.88508,3.14336,1.40102,3.6141,1.39458,0.987708,1.08517,-0.0613062,1.02386
2026,4,1610612739,42500201,2026-05-05,3,203471,Dennis Schroder,0,98.1699,14.7747,0.204135,20.9093,0.543739,0.485507,5.24614,5.27976,11.0431,5.74776,5.53725,0.557632,0.404659,0.467084,0.347269,0.831651,8.88444,3.22756,0.88416,4.3244,1.51942,0.316499,-1.34368,-0.562729,-1.90641
2026,4,1610612759,42500232,2026-05-06,1,203482,Kelly Olynyk,0,99.489,2.35733,0.16795,18.6419,0.611006,0.563426,5.70349,1.95648,7.51268,5.49364,5.11074,0.677991,0.399743,0.584619,0.356297,0.779853,6.45656,3.62062,3.17942,7.35818,1.83402,0.80408,-1.14009,-0.679216,-1.81931
2026,2,1610612763,22501194,2026-04-12,3,203484,Kentavious Caldwell-Pope,0,99.0235,24.3856,0.178698,20.5839,0.570799,0.538084,3.23095,5.88604,9.30075,7.43998,2.9319,0.602748,0.459951,0.524603,0.369958,0.875897,5.34452,2.17563,0.870299,4.44325,1.98997,0.393439,-1.24184,0.725805,-0.516034
2026,4,1610612759,42500232,2026-05-06,1,203486,Mason Plumlee,0,99.4219,4.76884,0.0739474,9.4706,0.616744,0.579071,5.20635,0.558754,5.19386,0.548147,4.39981,0.687037,0.308785,0.621042,0.120918,0.641068,4.57606,2.27879,4.57121,11.6554,1.40653,1.26027,-2.2821,-1.22676,-3.50886
2026,4,1610612750,42500232,2026-05-06,1,203497,Rudy Gobert,0,95.7554,34.1555,0.129288,15.7319,0.624462,0.616372,8.69008,1.05288,9.58964,0.606375,5.45529,0.697936,0.324973,0.646003,0.0985096,0.579767,3.0694,2.13936,5.88444,11.1668,1.29602,2.21833,-0.831849,3.96169,3.12984
2026,4,1610612745,42500176,2026-05-01,3,203500,Steven Adams,0,95.052,24.9056,0.115223,12.7653,0.54753,0.541616,7.21704,1.86044,8.88159,0.41822,5.35765,0.616637,0.433936,0.558281,0.125139,0.502356,3.03966,2.49004,9.38087,9.15053,1.48285,1.51019,-0.917808,1.06743,0.149622
2026,4,1610612743,42500166,2026-04-30,3,203501,Tim Hardaway Jr.,0,100.34,22.5946,0.17851,21.4301,0.57658,0.532244,2.51758,2.55483,5.09573,11.3102,4.94979,0.617381,0.431532,0.511274,0.361128,0.801287,2.18605,1.08028,0.589868,4.32834,1.00112,0.25034,-0.265225,-0.988183,-1.25341
